t,type,state,x,z,detail
0.003,state,HOME,,,
0.003,traj,HOME,0.1510,0.0980,
0.044,wp,OPEN,,,OK duration=0.00s
0.045,state,HOME,,,
0.105,wp,HOME,0.1500,0.1000,OK
0.106,state,APPROACH_A,,,
0.107,traj,APPROACH_A,0.1510,0.0980,
0.208,traj,APPROACH_A,0.1510,0.0980,
0.309,traj,APPROACH_A,0.1510,0.0980,
0.410,traj,APPROACH_A,0.1550,0.0970,
0.512,traj,APPROACH_A,0.1600,0.0970,
0.613,traj,APPROACH_A,0.1660,0.0960,
0.674,wp,APPROACH_A_1/2,0.1750,0.1000,OK
0.715,traj,APPROACH_A,0.1690,0.0980,
0.816,traj,APPROACH_A,0.1720,0.0980,
0.917,traj,APPROACH_A,0.1750,0.1000,
1.018,traj,APPROACH_A,0.1840,0.0980,
1.119,traj,APPROACH_A,0.1890,0.1000,
1.200,wp,APPROACH_A_2/2,0.2000,0.1000,OK
1.201,state,DESCEND_A,,,
1.222,traj,DESCEND_A,0.1940,0.0980,
1.323,traj,DESCEND_A,0.1970,0.0990,
1.424,traj,DESCEND_A,0.1990,0.0960,
1.524,traj,DESCEND_A,0.2000,0.0900,
1.625,traj,DESCEND_A,0.2000,0.0850,
1.726,wp,DESCEND_A_1/3,0.2000,0.0733,OK
1.727,traj,DESCEND_A,0.2000,0.0800,
1.828,traj,DESCEND_A,0.2000,0.0770,
1.929,traj,DESCEND_A,0.2000,0.0740,
2.030,traj,DESCEND_A,0.1990,0.0690,
2.132,traj,DESCEND_A,0.1990,0.0600,
2.233,wp,DESCEND_A_2/3,0.2000,0.0467,OK
2.233,traj,DESCEND_A,0.2010,0.0540,
2.334,traj,DESCEND_A,0.2000,0.0490,
2.436,traj,DESCEND_A,0.2000,0.0470,
2.537,traj,DESCEND_A,0.1990,0.0410,
2.637,traj,DESCEND_A,0.2010,0.0340,
2.738,traj,DESCEND_A,0.2000,0.0270,
2.779,wp,DESCEND_A_3/3,0.2000,0.0200,OK
2.780,state,CLAMP,,,
2.841,traj,CLAMP,0.2000,0.0230,
2.944,traj,CLAMP,0.2000,0.0200,
3.044,traj,CLAMP,0.2000,0.0190,
3.146,traj,CLAMP,0.2000,0.0180,
3.247,traj,CLAMP,0.2000,0.0190,
3.348,traj,CLAMP,0.2000,0.0190,
3.449,traj,CLAMP,0.2000,0.0180,
3.550,traj,CLAMP,0.2000,0.0190,
3.651,traj,CLAMP,0.2000,0.0190,
3.752,traj,CLAMP,0.2000,0.0190,
3.854,traj,CLAMP,0.2000,0.0190,
3.955,wp,CLOSE,,,OK duration=1.06s
3.956,state,LIFT,,,
3.956,traj,LIFT,0.2000,0.0190,
4.058,traj,LIFT,0.2000,0.0190,
4.159,traj,LIFT,0.2000,0.0190,
4.260,traj,LIFT,0.2000,0.0190,
4.361,traj,LIFT,0.2020,0.0230,
4.462,traj,LIFT,0.2020,0.0270,
4.564,traj,LIFT,0.2020,0.0340,
4.625,wp,LIFT_1/3,0.2000,0.0467,OK
4.665,traj,LIFT,0.2010,0.0380,
4.767,traj,LIFT,0.2000,0.0430,
4.868,traj,LIFT,0.2010,0.0450,
4.969,traj,LIFT,0.2020,0.0490,
5.070,traj,LIFT,0.2040,0.0560,
5.171,traj,LIFT,0.2030,0.0610,
5.272,traj,LIFT,0.2020,0.0660,
5.313,wp,LIFT_2/3,0.2000,0.0733,OK
5.374,traj,LIFT,0.2010,0.0700,
5.475,traj,LIFT,0.2000,0.0700,
5.576,traj,LIFT,0.2010,0.0720,
5.678,traj,LIFT,0.2010,0.0790,
5.779,traj,LIFT,0.2020,0.0840,
5.880,traj,LIFT,0.2020,0.0900,
5.961,wp,LIFT_3/3,0.2000,0.1000,OK
5.963,state,TRANSPORT,,,
5.984,traj,TRANSPORT,0.2010,0.0940,
6.085,traj,TRANSPORT,0.2010,0.0970,
6.186,traj,TRANSPORT,0.2000,0.0960,
6.287,traj,TRANSPORT,0.1970,0.0950,
6.388,traj,TRANSPORT,0.1900,0.0980,
